"state","AverageACTScorePercentOfGraduatesTested","AverageACTScoreComposite","AverageACTScoreEnglish","AverageACTScoreMath","AverageACTScoreReading","AverageACTScoreScience"
"Alabama",100,18,17.3,17.4,18.5,18.2
"Alaska",14,20.4,19.3,20,21.4,20.4
"Arizona",64,18.4,17.3,18.5,18.8,18.5
"Arkansas",93,18.8,18.3,18.1,19.2,19.1
"California",4,26.5,26.9,25.6,27.3,25.8
"Colorado",15,23.2,23,22.4,24,23
"Connecticut",9,26.3,26.8,25.3,27.1,25.7
"Delaware",5,24.9,25.3,23.6,26.1,24.3
"District of Columbia",18,26.9,27.4,25.2,28.2,26
"Florida",46,19,18.5,18.4,20,18.8
"Georgia",30,21.6,21,20.8,22.5,21.5
"Hawaii",53,18.8,17.6,18.6,19.4,19.1
"Idaho",15,22.8,22.3,22.2,23.7,22.6
"Illinois",18,24.5,24.8,23.7,25.2,24
"Indiana",13,22.8,22.1,2.5,23.7,22.5
"Iowa",49,21.4,20.4,20.6,22.3,21.6
"Kansas",73,19.9,18.9,19.4,20.6,20.1
"Kentucky",96,18.6,17.8,18,19.2,18.7
"Louisiana",100,18.1,17.6,17.4,18.6,18.3
"Maine",2,25.1,25.2,23.7,26.2,24.6
"Maryland",8,24.4,24.6,23,25.4,23.9
"Massachusetts",9,26.5,26.6,25.6,27.3,25.8
"Michigan",8,24.6,24.7,23.9,25.2,24.2
"Minnesota",69,21,19.7,20.7,21.7,21.4
"Mississippi",100,17.8,17.2,17.4,18.2,18
"Missouri",66,20.2,19.5,19.5,21,20.4
"Montana",94,19.3,18,19,20.1,19.5
"Nebraska",94,19.4,18.6,19.1,19.8,19.6
"Nevada",100,17.3,16.1,17.1,17.8,17.6
"New Hampshire",5,25.7,25.7,25,26.5,25.2
"New Jersey",12,24.6,24.9,23.9,25.1,24
"New Mexico",20,19.8,18.7,19.1,20.9,20.1
"New York",10,25.3,25.2,24.6,26,25
"North Carolina",88,18.5,17.1,18.5,19.2,18.8
"North Dakota",96,19.2,17.9,19.1,19.7,19.6
"Ohio",82,19.4,18.2,19.2,20,19.7
"Oklahoma",94,17.9,17,17.3,18.6,18.2
"Oregon",7,23,22.5,22,24.2,22.8
"Pennsylvania",7,24.4,24.3,23.7,25.2,24
"Rhode Island",5,25.2,25.3,24,26.2,24.7
"South Carolina",40,18.9,17.8,18.5,19.6,19.1
"South Dakota",58,21.5,20.5,21.2,22.2,21.7
"Tennessee",100,18.6,18,18.1,19,18.6
"Texas",22,19.8,18.7,19.5,20.4,19.9
"Utah",91,19.9,18.9,19.4,2.6,20.2
"Vermont",8,23.7,23.4,22.4,25,23.5
"Virginia",9,24.6,24.6,23.5,25.7,24.3
"Washington",7,24.6,24.3,23.6,25.6,24.3
"West Virginia",28,20.5,20.2,19.4,21.4,20.4
"Wisconsin",93,19.4,18.3,19.3,19.7,19.8
"Wyoming",100,19.2,18.1,18.9,20,19.5
